City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kodiak,57.79,-152.4072,8.73,87,100,7.72,US,1686441060
1,mar del plata,-38.0023,-57.5575,7.27,90,75,3.09,AR,1686441056
2,novodvinsk,64.4165,40.8122,2.07,90,60,1.96,RU,1686441056
3,grytviken,-54.2811,-36.5092,0.81,99,100,2.36,GS,1686441033
4,stanley,54.868,-1.6985,12.06,91,0,0.0,GB,1686440860
5,brokopondo,4.75,-55.1667,25.56,85,20,3.42,SR,1686441349
6,veracruz,19.3333,-96.6667,29.27,68,30,2.54,MX,1686441093
7,anadyr,64.75,177.4833,5.28,70,75,7.0,RU,1686441032
8,port-aux-francais,-49.35,70.2167,4.21,66,96,14.44,TF,1686441029
9,adamstown,-25.066,-130.1015,20.47,55,96,5.78,PN,1686441033
10,tiksi,71.6872,128.8694,2.88,76,68,4.56,RU,1686441039
11,college,64.8569,-147.8028,21.44,40,75,3.6,US,1686440922
12,whitehorse,60.7161,-135.0538,17.43,27,40,5.14,CA,1686441031
13,hermanus,-34.4187,19.2345,12.02,85,4,3.03,ZA,1686441052
14,yaren,-0.5472,166.916,28.96,73,91,5.82,NR,1686441350
15,kenai,60.5544,-151.2583,12.03,62,100,4.12,US,1686441350
16,ishikawa,26.4233,127.8214,29.18,83,75,3.6,JP,1686441186
17,lima,-12.0432,-77.0282,21.61,78,100,6.69,PE,1686441350
18,bethel,41.3712,-73.414,23.47,54,62,1.24,US,1686441030
19,waitangi,-43.9535,-176.5597,13.23,82,99,3.58,NZ,1686441029
20,belmonte,-15.8631,-38.8828,23.37,86,23,2.49,BR,1686441350
21,ust-nera,64.5667,143.2,16.83,52,100,2.75,RU,1686441049
22,edinburgh of the seven seas,-37.0676,-12.3116,15.52,87,55,7.37,SH,1686441030
23,lebu,-37.6167,-73.65,8.36,74,9,5.49,CL,1686441351
24,luderitz,-26.6481,15.1594,12.17,83,0,2.95,NA,1686441104
25,west island,-12.1568,96.8225,25.99,83,100,10.69,CC,1686441031
26,aasiaat,68.7098,-52.8699,1.08,98,100,9.75,GL,1686441047
27,el calafate,-50.3408,-72.2768,-0.28,74,70,3.42,AR,1686441351
28,colonia,50.9333,6.95,21.57,64,0,4.12,DE,1686440979
29,enewetak,11.3474,162.3373,28.06,80,100,6.98,MH,1686441032
30,sitka,57.0531,-135.33,11.94,82,100,0.0,US,1686441042
31,codrington,-38.2667,141.9667,12.14,79,47,4.91,AU,1686441037
32,nemuro,43.3236,145.575,9.59,98,100,0.96,JP,1686441055
33,avarua,-21.2078,-159.775,26.03,78,20,3.09,CK,1686441034
34,port elizabeth,-33.918,25.5701,8.16,93,0,0.0,ZA,1686441048
35,lindenhurst,40.6868,-73.3735,24.01,71,0,5.66,US,1686440967
36,lihue,21.9789,-159.3672,28.58,68,40,6.17,US,1686441037
37,salacgriva,57.7536,24.3581,7.84,67,0,3.83,LV,1686441352
38,beipiao,41.7919,120.7792,18.88,54,69,4.73,CN,1686441352
39,omaruru,-21.4333,15.9333,14.52,33,0,2.1,NA,1686441108
40,olinda,-8.0089,-34.8553,25.85,73,20,5.14,BR,1686441352
41,douglas,41.3,-96.167,26.61,61,100,3.09,US,1686441352
42,kantunilkin,21.0917,-87.45,25.04,96,81,1.15,MX,1686441353
43,mananjary,-21.2167,48.3333,21.52,89,85,2.07,MG,1686441353
44,puerto deseado,-47.7503,-65.8938,4.06,52,23,5.96,AR,1686441353
45,dunedin,-45.8742,170.5036,8.78,57,100,0.45,NZ,1686440861
46,la passe,45.5549,-0.8967,19.13,93,11,3.05,FR,1686441044
47,iquitos,-3.7481,-73.2472,27.02,83,20,2.06,PE,1686441353
48,aljezur,37.3191,-8.8033,16.97,92,42,1.75,PT,1686441353
49,suva,-18.1416,178.4415,26.71,61,75,4.63,FJ,1686441225
50,alice springs,-23.7,133.8833,16.23,26,100,4.12,AU,1686441008
51,tazacorte,28.629,-17.9293,20.54,70,0,2.68,ES,1686441355
52,luanda,-8.8368,13.2343,23.0,88,75,3.09,AO,1686441082
53,longyearbyen,78.2186,15.6401,5.91,75,75,1.03,SJ,1686441053
54,alvaraes,-3.2208,-64.8042,23.93,96,59,0.43,BR,1686441355
55,pursat,12.3333,103.6667,26.01,81,100,1.42,KH,1686441355
56,micheweni,-4.9667,39.8333,25.09,83,14,5.99,TZ,1686441355
57,northam,51.0333,-4.2167,17.56,91,25,0.96,GB,1686441355
58,bauska,56.4075,24.1906,6.54,67,0,3.51,LV,1686441355
59,port mathurin,-19.6833,63.4167,24.09,77,45,9.89,MU,1686441034
60,qaqortoq,60.7167,-46.0333,2.32,79,97,1.81,GL,1686441038
61,yeppoon,-23.1333,150.7333,18.88,74,53,4.47,AU,1686441110
62,gadzhiyevo,69.2551,33.3362,6.19,70,93,2.52,RU,1686441069
